OBJECTID,Od,Aleket,Commends,X,Y
26,993.000000000000000,1.000000000000000, ,236241.299999999810000,720943.169999999930000
27,994.000000000000000,1.000000000000000, ,236253.969999999740000,720943.519999999550000
28,995.000000000000000,1.000000000000000, ,236266.900000000370000,720943.779999999330000
29,996.000000000000000,1.000000000000000, ,236279.500000000000000,720943.699999999250000
30,997.000000000000000,1.000000000000000, ,236289.980000000450000,720943.750000000000000
31,998.000000000000000,1.000000000000000, ,236299.969999999740000,720943.919999999930000
32,999.000000000000000,1.000000000000000, ,236313.179999999700000,720944.199999999250000
33,1000.000000000000000,1.000000000000000, ,236326.459999999960000,720943.970000000670000
34,1001.000000000000000,1.000000000000000, ,236337.379999999890000,720944.550000000750000
35,1002.000000000000000,1.000000000000000, ,236347.299999999810000,720944.509999999780000
36,1003.000000000000000,1.000000000000000, ,236360.120000000110000,720944.839999999850000
37,1004.000000000000000,1.000000000000000, ,236370.089999999850000,720944.849999999630000
38,1005.000000000000000,1.000000000000000, ,236380.400000000370000,720944.650000000370000
39,1006.000000000000000,1.000000000000000, ,236392.129999999890000,720944.660000000150000
40,1007.000000000000000,2.000000000000000, ,236404.540000000040000,720945.470000000670000
41,1008.000000000000000,1.000000000000000, ,236415.959999999960000,720945.240000000220000
42,1009.000000000000000,2.000000000000000, ,236428.660000000150000,720944.839999999850000
43,1010.000000000000000,2.000000000000000, ,236441.629999999890000,720944.539999999110000
44,1011.000000000000000,2.000000000000000, ,236454.440000000410000,720944.470000000670000
45,1012.000000000000000,2.000000000000000, ,236464.889999999660000,720944.519999999550000
46,1013.000000000000000,1.000000000000000, ,236471.589999999850000,720923.330000000070000
47,1014.000000000000000,1.000000000000000, ,236459.910000000150000,720923.880000000820000
